title,service,citation,dataDownload,description,license,organization,organization-long,source,short-description,subtitle,id
"Reservations -- U.S. (Alaska)","92","","http://edg.epa.gov/data/Restricted/OEI/OIAA/Tribes/EPAtribes.zip","","U.S. Government Work","EPA","U.S. Environmental Protection Agency","https://catalog.data.gov/dataset/epa-tribal-areas-3-of-4-alaska-reservations","This layer represents locations of American Indian reservations in Alaska.","EPA  American Indian Reservations",03cbbe91-3c9b-443e-8210-b3b547e27cc9
"Natural Land Cover - Water as Background (2006) -- U.S. ","121","","","EnviroAtlas (https://www.epa.gov/enviroatlas) allows the user to interact with a web-based, easy-to-use, mapping application to view and analyze multiple ecosystem services for the contiguous United States. The dataset is available as downloadable data (https://edg.epa.gov/data/Public/ORD/EnviroAtlas) or as an EnviroAtlas map service. Additional descriptive information about each attribute in this dataset can be found in its associated EnviroAtlas Fact Sheet (https://www.epa.gov/enviroatlas/enviroatlas-fact-sheets).","U.S. Government Work","EPA","U.S. Environmental Protection Agency","https://edg.epa.gov/data/Public/ORD/EnviroAtlas/National","This EnviroAtlas dataset categorizes land cover into structural elements (e.g. core, edge, connector, etc.). Water is treated as background in this dataset. This dataset was produced by the US EPA to support research and online mapping activities related to EnviroAtlas","EnviroAtlas Landcover ",04dce585-e790-4410-9c50-9d0cfd547b61
"Flood Wall -- U.S.","255","","","","U.S. Government Work","DOT","Department of Transportation","http://geoplatform.maps.arcgis.com/home/item.html?id=790e540fb71943cc991d796ea740d24c","The area over which a harbour authority has jurisdiction. Distinction: dock area;","USACE Transportation Water ",057068a5-f080-4b93-abd0-9029cd7a89bc
"Historical Precipitation -- U.S. (Puget Sound Lowlands)","20012","Vose, R. S. et al., 2014. Improved historical temperature and precipitation time series for US climate divisions. Journal Of Applied Meteorology and Climatology, 53(5), 1232-1251.","ftp://ftp.ncdc.noaa.gov/pub/data/cirs/climdiv/","These data were derived from the U.S. Climate Divisional Dataset, developed by the National Centers for Environmental Information (NCEI). NCEI provides long-term climate summaries for each of the country’s 344 climate divisions. Results for the “Puget Sound Lowlands (45-03)” climate division were used in the present analysis, which includes all of the low-lying land areas surrounding Puget Sound, where most of the historical weather observations are concentrated. For more information about this analysis please see http://cses.washington.edu/picea/mauger/ps-sok/ps-sok_sec12_builtenvironment_2015.pdf. For more information about the US Climate Divisional Dataset, see: http://www.ncdc.noaa.gov/monitoring-references/maps/us-climate-divisions.php","U.S. Government Work","NOAA","","http://catalog.data.gov/dataset/noaas-climate-divisional-database-nclimdiv","","NOAA nCLIMDIV Precipitation ",06c44f9a-aae7-401e-874c-de13b7764959
"Social Vulnerability Index (2006-2010) -- U.S. (Indiana) ","300","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_IN.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",06ef7a04-eef3-42a9-8356-f9fb927909ce
"Social Vulnerability Index (2006-2010) -- U.S. (New Hampshire) ","309","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_NH.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",0706f039-b929-453e-b154-7392123ae99e
"Social Vulnerability Index (2006-2010) -- U.S. (Hawaii) ","297","","https://coast.noaa.gov/htdata/SocioEconomic/SoVI2010/SoVI_2010_HI.zip","SoVI® is a valuable tool for policy makers and practitioners. It graphically illustrates the geographic variation in social vulnerability. It shows where there is uneven capacity for preparedness and response and where resources might be used most effectively to reduce the pre-existing vulnerability. SoVI® also is useful as an indicator in determining the differential recovery from disasters.The index synthesizes 27 socioeconomic variables, which the research literature suggests contribute to reduction in a community’s ability to prepare for, respond to, and recover from hazards. SoVI® data sources include primarily those from the United States Census Bureau.The data are compiled and processed by the Hazards and Vulnerability Research Institute at the University of South Carolina. The data are standardized and placed into a principal components analysis to reduce the initial set of variables into a smaller set of statistically optimized components. Adjustments are made to the components’ cardinality (positive (+) or negative (-)) to insure that positive component loadings are associated with increased vulnerability, and negative component loadings are associated with decreased vulnerability. Once the cardinalities of the components are determined, the components are added together to determine the numerical social vulnerability score for each county.SoVI® 2006-10 marks a change in the formulation of the SoVI® metric from earlier versions. New directions in the theory and practice of vulnerability science emphasize the constraints of family structure, language barriers, vehicle availability, medical disabilities, and healthcare access in the preparation for and response to disasters, thus necessitating the inclusion of such factors in SoVI®. Extensive testing of earlier conceptualizations of SoVI®, in addition to the introduction of the U.S. Census Bureau’s five-year American Community Survey (ACS) estimates, warrants changes to the SoVI® recipe, resulting in a more robust metric. These changes, pioneered with the ACS-based SoVI® 2005-09 carry over to SoVI® 2006-10, which combines the best data available from both the 2010 U.S. Decennial Census and five-year estimates from the 2006-2010 ACS. ","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/dataregistry/search/dataset/info/sovi","The Social Vulnerability Index (SoVI®) 2006-10 measures the social vulnerability of U.S. counties to environmental hazards. The index is a comparative metric that facilitates the examination of the differences in social vulnerability among counties. ","Social Vulnerability to Environmental Hazards ",07ebce97-c939-454b-b239-f435ae90541d
"Harbor Area  -- U.S.","256","","","","U.S. Government Work","DOT","Department of Transportation","http://geoplatform.maps.arcgis.com/home/item.html?id=790e540fb71943cc991d796ea740d24c","The area over which a harbour authority has jurisdiction. Distinction: dock area;","USACE Transportation Water",08874c40-083d-4650-ad6c-e4d2531702a3
"Coastal Flood Hazard Composite Layer (# of Hazards) -- U.S. ","398","","","","U.S. Government Work","NOAA","National Oceanic and Atmospheric Administration, Department of Commerce","https://coast.noaa.gov/digitalcoast/tools/flood-exposure.html","This data consists of a composite inundation hazards layer for counties from TX to ME, which have a flood exposure snapshot. The dataset was developed from a union of FEMA flood hazard, USACE hurricane evacuation study, NOAA sea level rise of 3-ft above MHHW, and NOAA Shallow Coastal flooding georeferenced digital data. The source and date have been preserved for each source dataset in the attribution. A unique identifier for each hazard, a total number of hazards and hazard description list in the attribution provide coastal risk exposure for each polygon ","NOAA Coastal Flood Exposure Mapper",08ff8183-48dc-457a-8924-bb4e7a87b8a8
"USGS Land Cover - Impervious Surface (2001) -- U.S. (Alaska)","322","Homer, C., Dewitz, J., Fry, J., Coan, M., Hossain, N., Larson, C., Herold, N., McKerrow, A., VanDriel, J.N., and Wickham, J. 2007. Completion of the 2001 National Land Cover Database for the Conterminous United States. Photogrammetric Engineering and Remote Sensing, Vol. 73, No. 4, pp 337-341. ","","NLCD 2001 is based primarily on a decision-tree classification of circa 2001 Landsat satellite data. NLCD 2001 improves on NLCD92 in that it is comprised of three different elements: land cover, percent developed impervious surface and percent tree canopy density. NLCD 2001 also uses improved classification algorithms, which have resulted in data with more precise rendering of spatial boundaries between the land cover classes.","U.S. Government Work","USGS","U.S. Geological Survey","http://www.mrlc.gov/nlcd01_data.php","National Land Cover Database 2001 (NLCD 2001) is a 16-class (additional four classes in Alaska only) land cover classification scheme that has been applied consistently across all 50 United States and Puerto Rico at a spatial resolution of 30 meters.","USGS National Land Cover Database",0c630feb-8146-4fcc-a9be-be5adcb731c8
